iter	Passed	Remaining
195	6623	27169
196	6656	27132
197	6685	27079
198	6715	27031
199	6748	26995
200	6779	26948
201	6810	26905
202	6841	26860
203	6876	26831
204	6910	26798
205	6944	26768
206	6979	26739
207	7015	26713
208	7052	26690
209	7089	26669
210	7125	26643
211	7161	26617
212	7199	26602
213	7234	26571
214	7268	26537
215	7303	26509
216	7336	26471
217	7370	26440
218	7403	26401
219	7436	26364
220	7469	26329
221	7502	26290
222	7535	26256
223	7567	26217
224	7599	26176
225	7630	26131
226	7661	26089
227	7693	26050
228	7728	26020
229	7759	25977
230	7795	25950
231	7830	25920
232	7864	25889
233	7899	25858
234	7936	25835
235	7971	25805
236	8006	25776
237	8041	25746
238	8076	25716
239	8111	25685
240	8147	25658
241	8181	25625
242	8214	25589
243	8247	25552
244	8279	25512
245	8309	25467
246	8338	25419
247	8369	25377
248	8398	25329
249	8427	25282
250	8458	25242
251	8489	25200
252	8518	25150
253	8549	25109
254	8578	25061
255	8608	25019
256	8638	24973
257	8668	24930
258	8699	24889
259	8731	24850
260	8763	24813
261	8793	24768
262	8824	24728
263	8853	24681
264	8884	24641
265	8915	24600
266	8946	24561
267	8975	24516
268	9005	24471
269	9040	24442
270	9073	24408
271	9107	24375
272	9138	24336
273	9169	24296
274	9198	24250
275	9228	24207
276	9257	24164
277	9287	24120
278	9315	24073
279	9345	24031
280	9377	23994
281	9406	23950
282	9437	23909
283	9470	23876
284	9504	23845
285	9538	23812
286	9570	23776
287	9601	23737
288	9628	23688
289	9660	23651
290	9690	23609
291	9723	23575
292	9752	23533
293	9781	23489
294	9811	23447
295	9843	23412
296	9877	23380
297	9907	23338
298	9939	23302
299	9969	23261
300	10000	23224
301	10037	23198
302	10070	23166
303	10105	23137
304	10140	23106
305	10174	23075
306	10209	23045
307	10243	23014
308	10277	22983
309	10312	22952
310	10346	22922
311	10381	22893
312	10416	22862
313	10449	22828
314	10478	22786
315	10509	22747
316	10538	22706
317	10570	22669
318	10599	22628
319	10630	22589
320	10662	22553
321	10693	22516
322	10729	22489
323	10760	22450
324	10789	22408
325	10820	22371
326	10853	22336
327	10881	22294
328	10915	22261
329	10944	22221
330	10976	22185
331	11006	22146
332	11040	22114
333	11074	22082
334	11106	22046
335	11135	22006
336	11164	21965
337	11194	21924
338	11225	21888
339	11255	21848
340	11286	21811
341	11314	21769
342	11345	21732
343	11376	21693
344	11407	21657
345	11436	21616
346	11467	21579
347	11498	21543
348	11528	21504
349	11559	21467
350	11588	21428
351	11621	21394
352	11651	21354
353	11681	21317
354	11713	21281
355	11744	21244
356	11778	21214
357	11812	21183
358	11845	21150
359	11878	21118
360	11912	21085
361	11943	21049
362	11974	21013
363	12006	20978
364	12039	20945
365	12074	20915
366	12107	20883
367	12143	20855
368	12179	20827
369	12213	20796
370	12248	20766
371	12283	20735
372	12317	20705
373	12349	20670
374	12381	20636
375	12412	20599
376	12445	20566
377	12476	20529
378	12508	20495
379	12544	20467
380	12578	20436
381	12612	20405
382	12647	20375
383	12682	20344
384	12716	20313
385	12750	20281
386	12784	20250
387	12818	20219
388	12854	20190
389	12886	20156
390	12917	20119
391	12947	20082
392	12978	20045
393	13012	20013
394	13047	19984
395	13084	19956
396	13117	19924
397	13151	19891
398	13183	19857
399	13214	19821
400	13245	19785
401	13276	19748
402	13306	19712
403	13336	19674
404	13369	19641
405	13398	19602
406	13430	19568
407	13460	19530
408	13491	19494
409	13523	19460
410	13556	19428
411	13587	19392
412	13619	19357
413	13650	19321
414	13681	19286
415	13713	19251
416	13753	19227
417	13786	19196
418	13822	19167
419	13858	19137
420	13893	19107
421	13928	19077
422	13962	19046
423	13996	19014
424	14031	18983
425	14066	18953
426	14101	18923
427	14136	18892
428	14169	18859
429	14201	18825
430	14231	18787
431	14259	18748
432	14288	18710
433	14319	18674
434	14347	18635
435	14378	18599
436	14407	18561
437	14435	18522
438	14465	18486
439	14496	18449
440	14525	18412
441	14555	18375
442	14584	18337
443	14614	18301
444	14644	18264
445	14674	18227
446	14705	18192
447	14736	18157
448	14765	18120
449	14797	18085
450	14827	18048
451	14856	18011
452	14885	17974
453	14917	17940
454	14947	17903
455	14976	17866
456	15008	17832
457	15041	17800
458	15075	17768
459	15108	17735
460	15137	17698
461	15167	17662
462	15197	17626
463	15226	17589
464	15258	17555
465	15289	17521
466	15321	17486
467	15351	17450
468	15381	17414
469	15410	17378
470	15441	17343
471	15470	17306
472	15506	17276
473	15542	17247
474	15579	17219
475	15615	17190
476	15653	17162
477	15688	17132
478	15725	17104
479	15763	17076
480	15796	17044
481	15826	17008
482	15857	16973
483	15887	16938
484	15918	16902
485	15948	16867
486	15979	16832
487	16010	16798
488	16043	16765
489	16077	16733
490	16111	16702
491	16143	16668
492	16172	16631
493	16202	16596
494	16236	16564
495	16270	16532
496	16303	16500
497	16336	16467
498	16370	16435
499	16402	16402
500	16432	16366
501	16465	16333
502	16495	16298
503	16525	16263
504	16557	16229
505	16588	16194
506	16619	16160
507	16649	16125
508	16679	16089
509	16709	16054
510	16740	16019
511	16768	15982
512	16798	15947
513	16827	15910
514	16859	15877
515	16890	15843
516	16922	15809
517	16952	15774
518	16985	15742
519	17020	15710
520	17052	15678
521	17087	15647
522	17121	15615
523	17155	15584
524	17186	15549
525	17219	15517
526	17253	15485
527	17293	15459
528	17328	15428
529	17364	15398
530	17400	15368
531	17437	15339
532	17471	15308
533	17505	15276
534	17540	15245
535	17572	15212
536	17605	15179
537	17638	15147
538	17672	15114
539	17703	15080
540	17736	15047
541	17765	15011
542	17796	14978
543	17831	14946
544	17865	14915
545	17899	14883
546	17934	14852
547	17971	14823
548	18005	14791
549	18036	14757
550	18070	14725
551	18100	14690
552	18134	14658
553	18166	14625
554	18195	14589
555	18227	14555
556	18260	14523
557	18292	14489
558	18321	14454
559	18359	14425
560	18393	14393
561	18429	14363
562	18464	14332
563	18498	14299
564	18529	14266
565	18560	14232
566	18596	14201
567	18633	14171
568	18674	14145
569	18712	14116
570	18751	14088
571	18788	14058
572	18824	14027
573	18860	13997
574	18899	13969
575	18938	13940
576	18978	13912
577	19012	13880
578	19047	13850
579	19084	13819
580	19118	13787
581	19152	13755
582	19186	13723
583	19221	13691
584	19256	13660
585	19292	13629
586	19326	13597
587	19360	13565
588	19394	13533
589	19428	13501
590	19461	13468
591	19492	13434
592	19521	13398
593	19552	13363
594	19582	13328
595	19612	13294
596	19641	13258
597	19672	13224
598	19701	13189
599	19731	13154
600	19763	13120
601	19794	13086
602	19823	13051
603	19857	13018
604	19889	12985
605	19924	12953
606	19957	12921
607	19988	12887
608	20021	12854
609	20057	12823
610	20094	12793
611	20129	12761
612	20164	12730
613	20200	12699
614	20234	12666
615	20265	12633
616	20297	12599
617	20327	12564
618	20364	12534
619	20396	12501
620	20429	12468
621	20463	12435
622	20497	12403
623	20529	12370
624	20559	12335
625	20588	12300
626	20618	12266
627	20655	12235
628	20692	12204
629	20728	12174
630	20767	12144
631	20803	12113
632	20838	12081
633	20873	12050
634	20910	12019
635	20947	11988
636	20984	11958
637	21021	11927
638	21057	11896
639	21091	11863
640	21123	11830
641	21154	11796
642	21186	11762
643	21214	11727
644	21248	11694
645	21277	11659
646	21306	11624
647	21338	11591
648	21367	11556
649	21398	11522
650	21431	11489
651	21464	11456
652	21504	11427
653	21539	11395
654	21577	11365
655	21615	11334
656	21651	11303
657	21686	11271
658	21719	11238
659	21753	11206
660	21784	11172
661	21815	11138
662	21847	11104
663	21877	11070
664	21909	11036
665	21939	11002
666	21975	10971
667	22012	10940
668	22048	10908
669	22086	10878
670	22121	10846
671	22155	10814
672	22190	10782
673	22226	10750
674	22265	10720
675	22301	10688
676	22338	10657
677	22375	10626
678	22411	10595
679	22448	10563
680	22484	10532
681	22520	10500
682	22554	10468
683	22585	10434
684	22617	10400
685	22648	10367
686	22686	10336
687	22730	10308
688	22766	10276
689	22799	10243
690	22837	10212
691	22869	10178
692	22905	10147
693	22937	10113
694	22971	10081
695	23003	10047
696	23036	10014
697	23070	9981
698	23103	9948
699	23137	9916
700	23168	9882
701	23197	9847
702	23225	9812
703	23256	9778
704	23289	9745
705	23324	9713
706	23357	9680
707	23390	9647
708	23423	9613
709	23456	9580
710	23489	9547
711	23520	9513
712	23552	9480
713	23582	9446
714	23611	9411
715	23640	9376
716	23672	9343
717	23702	9309
718	23733	9275
719	23766	9242
720	23802	9210
721	23836	9178
722	23872	9146
723	23905	9113
724	23938	9080
725	23977	9049
726	24013	9017
727	24048	8985
728	24083	8952
729	24117	8920
730	24148	8886
731	24179	8852
732	24212	8819
733	24242	8785
734	24276	8752
735	24310	8719
736	24344	8687
737	24377	8654
738	24411	8621
739	24442	8587
740	24473	8554
741	24503	8520
742	24535	8486
743	24568	8453
744	24602	8420
745	24633	8387
746	24663	8353
747	24697	8320
748	24729	8287
749	24760	8253
750	24790	8219
751	24821	8185
752	24852	8152
753	24890	8120
754	24923	8087
755	24957	8054
756	24989	8021
757	25024	7989
758	25057	7956
759	25092	7923
760	25127	7891
761	25161	7858
762	25196	7826
763	25231	7793
764	25264	7761
765	25298	7728
766	25331	7695
767	25365	7662
768	25397	7629
769	25427	7595
770	25458	7561
771	25489	7527
772	25517	7493
773	25548	7459
774	25579	7426
775	25610	7392
776	25643	7359
777	25676	7326
778	25707	7293
779	25736	7259
780	25769	7226
781	25800	7192
782	25831	7158
783	25862	7125
784	25894	7092
785	25923	7058
786	25953	7024
787	25986	6991
788	26018	6957
789	26052	6925
790	26087	6892
791	26121	6860
792	26155	6827
793	26186	6793
794	26216	6760
795	26248	6727
796	26280	6693
797	26312	6660
798	26344	6627
799	26376	6594
800	26406	6560
801	26437	6527
802	26468	6493
803	26498	6459
804	26527	6425
805	26558	6392
806	26588	6358
807	26620	6325
808	26649	6291
809	26681	6258
810	26709	6224
811	26740	6191
812	26773	6158
813	26803	6124
814	26832	6090
815	26864	6057
816	26900	6025
817	26936	5993
818	26970	5960
819	27005	5928
820	27040	5895
821	27075	5862
822	27109	5830
823	27142	5797
824	27175	5764
825	27205	5730
826	27235	5697
827	27266	5664
828	27297	5630
829	27329	5597
830	27360	5564
831	27398	5532
832	27431	5499
833	27465	5466
834	27499	5433
835	27532	5401
836	27566	5368
837	27600	5335
838	27632	5302
839	27664	5269
840	27695	5236
841	27731	5203
842	27767	5171
843	27801	5138
844	27836	5106
845	27871	5073
846	27905	5040
847	27940	5008
848	27976	4975
849	28010	4943
850	28044	4910
851	28079	4877
852	28113	4844
853	28152	4812
854	28188	4780
855	28225	4748
856	28261	4715
857	28297	4683
858	28333	4650
859	28369	4618
860	28405	4585
861	28442	4553
862	28478	4520
863	28514	4488
864	28550	4455
865	28587	4423
866	28624	4391
867	28660	4358
868	28694	4325
869	28731	4293
870	28768	4260
871	28804	4228
872	28842	4195
873	28877	4163
874	28915	4130
875	28950	4097
876	28984	4065
877	29019	4032
878	29056	3999
879	29091	3966
880	29127	3934
881	29164	3901
882	29199	3868
883	29235	3836
884	29271	3803
885	29307	3770
886	29343	3738
887	29377	3705
888	29411	3672
889	29446	3639
890	29481	3606
891	29516	3573
892	29552	3541
893	29587	3508
894	29621	3475
895	29657	3442
896	29694	3409
897	29729	3376
898	29763	3343
899	29801	3311
900	29834	3278
901	29870	3245
902	29902	3212
903	29933	3178
904	29962	3145
905	29992	3111
906	30022	3078
907	30053	3045
908	30083	3011
909	30116	2978
910	30148	2945
911	30179	2912
912	30210	2878
913	30240	2845
914	30271	2812
915	30305	2779
916	30339	2746
917	30375	2713
918	30408	2680
919	30442	2647
920	30475	2614
921	30506	2580
922	30540	2547
923	30573	2514
924	30605	2481
925	30638	2448
926	30672	2415
927	30705	2382
928	30738	2349
929	30771	2316
930	30806	2283
931	30842	2250
932	30877	2217
933	30912	2184
934	30946	2151
935	30981	2118
936	31016	2085
937	31051	2052
938	31085	2019
939	31119	1986
940	31154	1953
941	31186	1920
942	31217	1886
943	31249	1853
944	31280	1820
945	31311	1787
946	31342	1754
947	31371	1720
948	31401	1687
949	31431	1654
950	31461	1621
951	31492	1587
952	31523	1554
953	31555	1521
954	31588	1488
955	31620	1455
956	31652	1422
957	31684	1389
958	31717	1356
959	31747	1322
960	31779	1289
961	31811	1256
962	31846	1223
963	31881	1190
964	31916	1157
965	31951	1124
966	31986	1091
967	32021	1058
968	32056	1025
969	32091	992
970	32126	959
971	32161	926
972	32195	893
973	32230	860
974	32264	827
975	32294	794
976	32326	761
977	32356	727
978	32387	694
979	32417	661
980	32448	628
981	32481	595
982	32514	562
983	32545	529
984	32578	496
985	32609	463
986	32639	429
987	32668	396
988	32701	363
989	32732	330
990	32768	297
991	32803	264
992	32837	231
993	32868	198
994	32904	165
995	32939	132
996	32972	99
997	33005	66
998	33037	33
999	33071	0
